customer_id,age,income,credit_score,purchase_amount,category,purchase_date,will_return,return_indicator
1036,42,82592.0,567.0,964,0,2023-02-06,0,0.1043675645368749
1037,66,87563.0,809.0,892,1,2023-02-07,1,0.972897853818854
1038,44,22695.0,685.0,479,3,2023-02-08,0,-0.1534065118698928
1039,76,144375.0,686.0,384,2,2023-02-09,0,0.0363069603337308
1040,59,68190.0,412.0,31,0,2023-02-10,1,1.0644371535474684
1041,45,25258.0,380.0,759,2,2023-02-11,0,0.0857864658788466
1042,77,107538.0,412.0,679,0,2023-02-12,0,-0.0626857869538154
1043,33,59504.0,301.0,47,2,2023-02-13,1,0.8157992695946643
1044,32,53159.0,519.0,239,0,2023-02-14,0,-0.0325973140981488
1045,79,33986.0,524.0,374,0,2023-02-15,0,0.3253985126087606
1046,79,89524.47777777778,684.0,572,1,2023-02-16,0,-0.1544998948596997
1047,64,149312.0,702.0,447,0,2023-02-17,1,0.8657264903513078
1048,79,89524.47777777778,429.0,785,1,2023-02-18,1,0.9892041889732596
1049,68,58660.0,352.0,292,0,2023-02-19,1,0.9375474752406316
1050,61,23561.0,715.0,36,3,2023-02-20,0,-0.0200204895731069
1051,72,46854.0,546.0,235,3,2023-02-21,0,0.2024720998001007
1052,69,84505.0,738.0,286,3,2023-02-22,1,0.8646740057962022
1053,74,124488.0,573.7368421052631,807,0,2023-02-23,0,-0.0014280547705094
1054,20,72251.0,483.0,618,1,2023-02-24,0,0.0201907441802795
1055,54,42662.0,422.0,293,1,2023-02-25,1,0.8695263314924504
1056,68,89524.47777777778,573.7368421052631,888,0,2023-02-26,1,0.8059347261193183
1057,24,50535.0,593.0,969,3,2023-02-27,0,0.0269317654252538
1058,38,98603.0,579.0,490,3,2023-02-28,0,0.1813666575878907
1059,26,133569.0,497.0,462,1,2023-03-01,0,0.0404582895117524
1060,56,72256.0,810.0,838,3,2023-03-02,1,0.959007258698166
1061,35,109135.0,443.0,825,2,2023-03-03,1,0.9582730435800478
1062,21,147478.0,500.0,668,1,2023-03-04,1,0.9241582264182564
1063,42,55222.0,423.0,525,3,2023-03-05,1,1.0683482320141002
1064,77,97373.0,486.0,556,1,2023-03-06,0,-0.0505442273791863
1065,31,99575.0,625.0,201,2,2023-03-07,1,0.8143214515581437
1066,67,143684.0,763.0,58,1,2023-03-08,1,0.7918346074385454
1067,75,116354.0,648.0,521,1,2023-03-09,1,0.9579009014244056
1068,26,104651.0,702.0,26,1,2023-03-10,1,1.05606924631803
1069,43,83335.0,645.0,181,1,2023-03-11,1,0.973748525162194
1070,70,30965.0,810.0,229,2,2023-03-12,0,-0.0317368785270643
1071,19,44538.0,446.0,167,0,2023-03-13,0,0.0458441296561979
1072,37,128066.0,447.0,486,1,2023-03-14,1,0.9686212343894626
1073,45,90592.0,788.0,55,1,2023-03-15,0,0.0826190473654266
1074,64,118018.0,637.0,382,3,2023-03-16,1,1.0826503887436774
1075,77,133252.0,772.0,527,1,2023-03-17,1,0.8545609871427005
1076,24,28110.0,450.0,108,3,2023-03-18,0,-0.2339596563643398
1077,61,99309.0,714.0,901,0,2023-03-19,0,-0.035153679862045
1078,78,47266.0,597.0,754,2,2023-03-20,1,0.8480658532759928
1079,25,72992.0,562.0,46,2,2023-03-21,1,1.033195818657451
1080,64,102948.0,443.0,289,0,2023-03-22,1,0.87756662046529
1081,52,142073.0,645.0,358,2,2023-03-23,0,-0.1875778638563943
1082,31,118806.0,301.0,506,0,2023-03-24,1,0.8925798551192321
1083,34,26910.0,603.0,311,0,2023-03-25,1,0.800802567454115
1084,53,130989.0,553.0,190,0,2023-03-26,1,1.109015771901085
1085,67,110982.0,752.0,616,2,2023-03-27,0,0.0471641954448069
1086,57,141626.0,573.7368421052631,108,3,2023-03-28,1,1.0147558109013712
1087,21,139176.0,459.0,709,0,2023-03-29,1,1.0036026534904858
1088,19,20206.0,308.0,125,1,2023-03-30,0,0.0840171159278425
1089,79,107054.0,532.0,200,2,2023-03-31,1,1.0633342025069072
1090,23,107897.0,398.0,262,0,2023-04-01,1,0.8960254640675406
1091,71,142409.0,507.0,990,0,2023-04-02,0,-0.141996163299169
1092,59,43419.0,430.0,937,1,2023-04-03,1,0.8653066262752336
1093,21,70636.0,703.0,992,3,2023-04-04,0,-0.0045249623739319
1094,71,142546.0,451.0,170,3,2023-04-05,0,-0.2564341981460694
1095,46,134238.0,353.0,265,3,2023-04-06,1,1.064272588329383
1096,35,70015.0,419.0,332,0,2023-04-07,1,0.7603252779817077
1097,43,137478.0,719.0,137,0,2023-04-08,1,1.009909332582914
1098,61,142096.0,721.0,27,0,2023-04-09,1,0.933192921079447
1099,51,127059.0,403.0,802,2,2023-04-10,0,0.0285175324649653
